-0.9900   -0.1411
-0.9728    0.2318
-0.6795   -0.7337
-0.8895   -0.4569
-0.5567   -0.3533
-0.7080   -0.0062
-0.5648    0.3524
-0.8384    0.5450
-0.6099    0.7925
-0.3797   -0.9251
-0.2950   -0.6426
-0.4000    0.0009
-0.3076    0.6386
-0.2693    0.9630
-0.0481   -0.9988
-0.1828   -0.3558
-0.1869    0.3537
0.0627    0.9980
0.3042   -0.9526
0.0776   -0.6563
0.2280   -0.3287
0.2160    0.3366
0.0688    0.6640
0.3955    0.9185
0.6017   -0.7987
0.4498   -0.5385
0.6411   -0.2047
0.3999    0.0080
0.6394    0.2128
0.4540    0.5312
0.8414   -0.5404
0.9756   -0.2194
0.9940    0.1090
0.8910    0.4540
0.6912    0.7227
