11    10    15
15    19    20
20    11    15
20    26    21
19    26    20
 9    13    14
10    11     3
 3    11     5
 5    11    16
16    20    21
11    20    16
21    26    27
26    31    27
25    26    19
25    31    26
33    27    32
32    27    31
 1     5     6
 6     2     1
23    13    17
18    14    23
23    14    13
24    30    35
18    23    24
24    23    30
22    23    17
30    23    22
35    30    34
 4     5     1
 4     3     5
 5    16    12
12     6     5
21    27    28
 6    12     7
 2     6     7
 7     8     2
 7    12    17
17    13     7
 7    13     9
 9     8     7
29    27    33
29    28    27
33    34    29
29    34    30
30    22    29
22    28    29
